Date,Start Equity,End Equity,Sharpe Ratio,Sortino Ratio,Drawdown,Total Net Profit,Strategy
M1_20220531,132349.7284,133385.6389,0.3708,0.4037,0.091,0.0078,Measured Yellow Camel
M1_20220630,132645.2489,122811.3457,-1.8133,-2.1829,0.12,-0.0741,Measured Yellow Camel
M1_20220731,121825.2139,132912.0157,6.0203,14.995,0.028,0.091,Measured Yellow Camel
M1_20220831,132912.0157,128514.3149,-1.4745,-1.621,0.073,-0.0331,Measured Yellow Camel
M1_20220930,127547.3313,117686.2269,-2.7046,-3.2203,0.112,-0.0773,Measured Yellow Camel
M1_20221031,115888.5148,126091.5726,4.7431,8.7608,0.056,0.088,Measured Yellow Camel
M1_20221130,125191.1142,128081.5534,1.2155,2.0253,0.039,0.0231,Measured Yellow Camel
M1_20221231,132071.1284,124542.6906,-2.8435,-3.958,0.071,-0.057,Measured Yellow Camel
M1_20230131,124542.6906,130388.7509,3.4685,4.9913,0.024,0.0469,Measured Yellow Camel
M1_20230228,132284.8574,129468.0608,-2.4558,-3.2241,0.048,-0.0213,Measured Yellow Camel
M1_20230331,128994.8389,131885.9734,1.4235,2.0866,0.047,0.0224,Measured Yellow Camel
M1_20230430,133724.6877,135838.0781,1.0952,1.4423,0.024,0.0158,Measured Yellow Camel
M1_20230531,135838.0781,137211.4587,0.5073,0.9488,0.026,0.0101,Measured Yellow Camel
M1_20230630,136458.523,143531.5237,4.7642,14.2352,0.021,0.0518,Measured Yellow Camel
M1_20230731,145208.4082,149632.5289,3.7351,5.1577,0.012,0.0305,Measured Yellow Camel
